IPAddress;Hostname;Status
10.49.42.64;N/A;Ping fehlgeschlagen
10.49.42.65;N/A;Ping fehlgeschlagen
10.49.42.66;N/A;Ping fehlgeschlagen
10.49.42.67;N/A;Ping fehlgeschlagen
10.49.42.68;N/A;Ping fehlgeschlagen
10.49.42.69;N/A;Ping fehlgeschlagen
10.49.42.70;N/A;Ping fehlgeschlagen
10.49.42.71;N/A;Ping fehlgeschlagen
10.49.42.72;N/A;Ping fehlgeschlagen
10.49.42.73;N/A;Ping fehlgeschlagen
10.49.42.74;N/A;Ping fehlgeschlagen
10.49.42.75;N/A;Ping fehlgeschlagen
10.49.42.76;N/A;Ping fehlgeschlagen
10.49.42.77;N/A;Ping fehlgeschlagen
10.49.42.78;N/A;Ping fehlgeschlagen
10.49.42.79;N/A;Ping fehlgeschlagen
10.49.42.80;N/A;Ping fehlgeschlagen
10.49.42.81;N/A;Ping fehlgeschlagen
10.49.42.82;N/A;Ping fehlgeschlagen
10.49.42.83;N/A;Ping fehlgeschlagen
10.49.42.84;N/A;Ping fehlgeschlagen
10.49.42.85;N/A;Ping fehlgeschlagen
10.49.42.86;N/A;Ping fehlgeschlagen
10.49.42.87;N/A;Ping fehlgeschlagen
10.49.42.88;N/A;Ping fehlgeschlagen
10.49.42.89;N/A;Ping fehlgeschlagen
10.49.42.90;N/A;Ping fehlgeschlagen
10.49.42.91;N/A;Ping fehlgeschlagen
10.49.42.92;N/A;Ping fehlgeschlagen
10.49.42.93;N/A;Ping fehlgeschlagen
10.49.42.94;N/A;Ping fehlgeschlagen
10.49.42.95;N/A;Ping fehlgeschlagen
10.49.42.96;N/A;Ping fehlgeschlagen
10.49.42.97;N/A;Ping fehlgeschlagen
10.49.42.98;N/A;Ping fehlgeschlagen
10.49.42.99;N/A;Ping fehlgeschlagen
10.49.42.100;datesxprod10.do-dat.int;Erfolgreich gepingt
10.49.42.101;N/A;Ping fehlgeschlagen
10.49.42.102;N/A;Ping fehlgeschlagen
10.49.42.103;DE-M-H-M-0005.DO-DAT.INT;Erfolgreich gepingt
10.49.42.104;DE-W-V-W-0002.DO-DAT.INT;Erfolgreich gepingt
10.49.42.105;DATVWS80.DO-DAT.INT;Erfolgreich gepingt
10.49.42.106;DATVWS86.DO-DAT.INT;Erfolgreich gepingt
10.49.42.107;N/A;Ping fehlgeschlagen
10.49.42.108;N/A;Ping fehlgeschlagen
10.49.42.109;N/A;Ping fehlgeschlagen
10.49.42.110;N/A;Ping fehlgeschlagen
10.49.42.111;N/A;Ping fehlgeschlagen
10.49.42.112;N/A;Ping fehlgeschlagen
10.49.42.113;N/A;Ping fehlgeschlagen
10.49.42.114;N/A;Ping fehlgeschlagen
10.49.42.115;N/A;Ping fehlgeschlagen
10.49.42.116;N/A;Ping fehlgeschlagen
10.49.42.117;N/A;Ping fehlgeschlagen
10.49.42.118;N/A;Ping fehlgeschlagen
