IPAddress;Hostname;Status
10.49.43.205;datex4zfs04-b.do-dat.int;Erfolgreich gepingt
10.49.43.206;N/A;Ping fehlgeschlagen
10.49.43.207;N/A;Ping fehlgeschlagen
10.49.43.208;N/A;Ping fehlgeschlagen
10.49.43.209;N/A;Ping fehlgeschlagen
10.49.43.210;N/A;Ping fehlgeschlagen
10.49.43.211;N/A;Ping fehlgeschlagen
10.49.43.212;N/A;Ping fehlgeschlagen
10.49.43.213;N/A;Ping fehlgeschlagen
10.49.43.214;datex3db01.do-dat.int;Erfolgreich gepingt
10.49.43.215;datex3db02.do-dat.int;Erfolgreich gepingt
10.49.43.216;datex3db01-vip.do-dat.int;Erfolgreich gepingt
10.49.43.217;datex3db02-vip.do-dat.int;Erfolgreich gepingt
10.49.43.218;datex3-scan.do-dat.int;Erfolgreich gepingt
10.49.43.219;datex3-scan.do-dat.int;Erfolgreich gepingt
10.49.43.220;datex3-scan.do-dat.int;Erfolgreich gepingt
10.49.43.221;datex4db01.do-dat.int;Erfolgreich gepingt
10.49.43.222;datex4db02.do-dat.int;Erfolgreich gepingt
10.49.43.223;datex4db01-vip.do-dat.int;Erfolgreich gepingt
10.49.43.224;datex4db02-vip.do-dat.int;Erfolgreich gepingt
10.49.43.225;datex4-scan.do-dat.int;Erfolgreich gepingt
10.49.43.226;datex4-scan.do-dat.int;Erfolgreich gepingt
10.49.43.227;datex4-scan.do-dat.int;Erfolgreich gepingt
10.49.43.228;datex4hanfs-vip.do-dat.int;Erfolgreich gepingt
10.49.43.229;datex3hanfs-vip.do-dat.int;Erfolgreich gepingt
10.49.43.230;datnas01.do-dat.int;Erfolgreich gepingt
10.49.43.231;DE-A-H-O-0001.DO-DAT.INT;Erfolgreich gepingt
10.49.43.232;N/A;Ping fehlgeschlagen
10.49.43.233;N/A;Ping fehlgeschlagen
10.49.43.234;N/A;Ping fehlgeschlagen
10.49.43.235;N/A;Ping fehlgeschlagen
